"Date Time, GMT -0400","Temp, (*C) - 1","Temp, (*C) - 2"
,,
6/11/17 9:23,23.98,23.94
,,
6/11/17 9:43,10.21,8.66
,,
6/11/17 10:03,9.99,8.58
,,
6/11/17 10:21, , 
,,
6/11/17 10:23,9.95,8.53
,,
6/11/17 10:43,9.86,8.45
,,
6/11/17 11:03,9.86,8.45
,,
6/11/17 11:23,9.86,8.49
,,
6/11/17 11:43,9.82,8.49
,,
6/11/17 12:03,9.82,8.49
,,
6/11/17 12:23,9.82,8.49
,,
6/11/17 12:43,9.86,8.45
,,
6/11/17 13:03,9.86,8.49
,,
6/11/17 13:23,9.86,8.45
,,
6/11/17 13:43,9.86,8.45
,,
6/11/17 14:03,9.82,8.49
,,
6/11/17 14:23,9.82,8.45
,,
6/11/17 14:43,9.82,8.49
,,
6/11/17 15:03,9.86,8.53
,,
6/11/17 15:23,9.91,8.49
,,
6/11/17 15:43,9.86,8.49
,,
6/11/17 16:03,9.86,8.49
,,
6/11/17 16:23,9.86,8.45
,,
6/11/17 16:43,9.86,8.49
,,
6/11/17 17:03,9.86,8.49
,,
6/11/17 17:23,9.86,8.49
,,
6/11/17 17:43,9.86,8.49
,,
6/11/17 18:03,9.91,8.49
,,
6/11/17 18:23,9.86,8.45
,,
6/11/17 18:43,9.91,8.45
,,
6/11/17 19:03,9.91,8.49
,,
6/11/17 19:23,9.86,8.49
,,
6/11/17 19:43,9.91,8.49
,,
6/11/17 20:03,9.91,8.53
,,
6/11/17 20:23,9.95,8.49
,,
6/11/17 20:43,9.95,8.49
,,
6/11/17 21:03,9.86,8.49
,,
6/11/17 21:23,9.95,8.53
,,
6/11/17 21:43,9.95,8.49
,,
6/11/17 22:03,9.95,8.49
,,
6/11/17 22:23,9.91,8.49
,,
6/11/17 22:43,9.99,8.53
,,
6/11/17 23:03,9.99,8.53
,,
6/11/17 23:23,9.99,8.49
,,
6/11/17 23:43,9.95,8.49
,,
6/12/17 0:03,9.95,8.53
,,
6/12/17 0:23,9.99,8.53
,,
6/12/17 0:43,9.99,8.49
,,
6/12/17 1:03,9.99,8.58
,,
6/12/17 1:23,9.99,8.53
,,
6/12/17 1:43,9.99,8.53
,,
6/12/17 2:03,10.04,8.53
,,
6/12/17 2:23,9.99,8.49
,,
6/12/17 2:43,9.99,8.58
,,
6/12/17 3:03,10.04,8.49
,,
6/12/17 3:23,10.04,8.53
,,
6/12/17 3:43,10.04,8.53
,,
6/12/17 4:03,10.08,8.49
,,
6/12/17 4:23,10.04,8.58
,,
6/12/17 4:43,10.08,8.53
,,
6/12/17 5:03,10.04,8.58
,,
6/12/17 5:23,10.08,8.53
,,
6/12/17 5:43,10.12,8.58
,,
6/12/17 6:03,10.12,8.53
,,
6/12/17 6:23,10.12,8.58
,,
6/12/17 6:43,10.16,8.49
,,
6/12/17 7:03,10.08,8.53
,,
6/12/17 7:23,10.16,8.53
,,
6/12/17 7:43,10.12,8.53
,,
6/12/17 8:03,10.12,8.53
,,
6/12/17 8:23,10.16,8.53
,,
6/12/17 8:43,10.12,8.58
,,
6/12/17 9:03,10.12,8.58
,,
6/12/17 9:23,10.16,8.58
,,
6/12/17 9:43,10.16,8.58
,,
6/12/17 10:03,10.16,8.58
,,
6/12/17 10:23,10.16,8.53
,,
6/12/17 10:43,10.21,8.58
,,
6/12/17 11:03,10.21,8.58
,,
6/12/17 11:23,10.16,8.58
,,
6/12/17 11:43,10.21,8.58
,,
6/12/17 12:03,10.25,8.62
,,
6/12/17 12:23,10.25,8.62
,,
6/12/17 12:43,10.21,8.58
,,
6/12/17 13:03,10.25,8.58
,,
6/12/17 13:23,10.25,8.58
,,
6/12/17 13:43,10.25,8.62
,,
6/12/17 14:03,10.25,8.62
,,
6/12/17 14:23,10.29,8.62
,,
6/12/17 14:43,10.25,8.58
,,
6/12/17 15:03,10.25,8.58
,,
6/12/17 15:23,10.29,8.62
,,
6/12/17 15:43,10.25,8.62
,,
6/12/17 16:03,10.29,8.62
,,
6/12/17 16:23,10.29,8.62
,,
6/12/17 16:43,10.29,8.66
,,
6/12/17 17:03,10.29,8.62
,,
6/12/17 17:23,10.29,8.62
,,
6/12/17 17:43,10.34,8.66
,,
6/12/17 18:03,10.25,8.62
,,
6/12/17 18:23,10.29,8.62
,,
6/12/17 18:43,10.34,8.62
,,
6/12/17 19:03,10.38,8.62
,,
6/12/17 19:23,10.38,8.66
,,
6/12/17 19:43,10.38,8.66
,,
